"DATE",PRCP,TAVG,TMAX,TMIN
2022-04-22,0.3,10.8,14.4,8.3
2022-04-23,0.3,14.6,22.8,6.7
2022-04-24,0.3,20.3,27.8,13.3
2022-04-25,0.3,22.3,30.6,16.1
2022-04-26,0.3,20.0,26.7,11.1
2022-04-27,0.3,13.9,22.2,9.4
2022-04-28,0.3,12.7,18.3,9.4
2022-04-29,0.3,15.2,22.2,8.9
2022-04-30,0.3,17.9,26.1,11.1
2022-05-01,0.3,16.1,23.3,11.7
2022-05-02,0.3,15.0,22.8,11.1
2022-05-03,0.3,14.1,21.1,10.6
2022-05-04,0.3,18.0,27.2,9.4
2022-05-05,0.3,20.5,28.3,13.3
2022-05-06,0.3,20.9,26.7,14.4
2022-05-07,0.3,16.3,23.9,10.0
2022-05-08,0.3,13.0,17.8,9.4
2022-05-09,0.3,12.8,18.9,8.9
2022-05-10,0.3,12.9,20.0,7.8
2022-05-11,0.3,11.9,17.8,6.1
2022-05-12,0.3,18.7,25.0,9.4
2022-05-13,0.3,23.3,31.1,15.6
2022-05-14,0.3,26.3,33.9,20.0
2022-05-15,0.3,22.9,31.1,13.3
2022-05-16,0.3,17.4,25.6,11.1
2022-05-17,0.3,15.6,22.8,10.6
2022-05-18,0.3,16.1,24.4,10.6
2022-05-19,0.3,15.2,23.9,10.0
2022-05-20,0.3,13.2,16.1,11.7
2022-05-21,0.3,13.4,17.8,10.6
2022-05-22,0.3,15.2,22.2,10.6
2022-05-23,0.3,14.7,22.8,10.6
2022-05-24,0.3,17.5,26.1,10.0
2022-05-25,0.3,20.6,25.6,15.0
2022-05-26,0.3,17.3,25.0,11.1
2022-05-27,0.3,15.6,25.0,10.6
2022-05-28,0.3,14.6,19.4,11.7
2022-05-29,0.3,15.3,21.1,11.1
2022-05-30,0.3,16.7,24.4,11.7
2022-05-31,0.3,17.6,25.0,10.0
2022-06-01,0.3,19.8,28.3,12.2
2022-06-02,0.3,19.3,28.3,12.2
2022-06-03,0.3,17.3,27.8,11.1
2022-06-04,0.3,16.5,23.3,11.7
2022-06-05,0.3,18.9,26.1,13.9
2022-06-06,0.3,20.2,27.8,13.3
2022-06-07,0.3,20.3,28.3,13.3
2022-06-08,0.3,20.7,30.0,13.3
2022-06-09,0.3,22.8,32.2,13.3
2022-06-10,0.3,25.6,32.8,18.3
2022-06-11,0.3,25.4,31.7,19.4
2022-06-12,0.3,23.3,30.0,14.4
2022-06-13,0.3,18.2,26.1,13.3
2022-06-14,0.3,19.9,27.2,12.8
2022-06-15,0.3,20.5,28.3,13.3
2022-06-16,0.3,21.5,30.6,13.9
2022-06-17,0.3,18.1,25.0,12.2
2022-06-18,0.3,17.3,25.0,11.7
2022-06-19,0.3,18.9,26.7,10.6
2022-06-20,0.3,25.1,33.3,16.1
2022-06-21,0.3,25.3,32.8,19.4
2022-06-22,0.3,26.6,32.8,21.7
2022-06-23,0.3,27.1,33.3,21.7
2022-06-24,0.3,27.5,33.9,21.7
2022-06-25,0.3,27.9,34.4,21.7
2022-06-26,0.3,27.6,34.4,21.7
2022-06-27,0.3,29.3,35.0,24.4
2022-06-28,0.3,28.4,35.0,22.8
2022-06-29,0.3,26.9,33.3,20.0
2022-06-30,0.3,24.9,31.7,18.3
2022-07-01,0.3,24.0,31.7,17.8
2022-07-02,0.3,22.1,28.9,14.4
2022-07-03,0.3,18.6,26.1,13.3
2022-07-04,0.3,18.4,25.6,12.8
2022-07-05,0.3,19.1,27.8,12.8
2022-07-06,0.3,19.8,27.2,14.4
2022-07-07,0.3,21.4,28.3,15.0
2022-07-08,0.3,22.2,30.6,14.4
2022-07-09,0.3,24.8,32.2,17.2
2022-07-10,0.3,25.8,32.2,20.0
2022-07-11,0.3,22.7,30.0,17.2
2022-07-12,0.3,20.0,28.3,13.3
2022-07-13,0.3,20.4,28.9,13.9
2022-07-14,0.3,21.1,28.3,15.0
2022-07-15,0.3,24.6,31.7,16.7
2022-07-16,0.3,26.9,32.8,20.6
2022-07-17,0.3,26.4,32.2,22.2
2022-07-18,0.3,25.8,32.8,20.6
2022-07-19,0.3,26.8,32.8,21.7
2022-07-20,0.3,25.1,33.9,21.1
2022-07-21,0.3,24.9,32.8,18.9
2022-07-22,0.3,22.2,30.0,16.7
2022-07-23,0.3,20.6,29.4,14.4
2022-07-24,0.3,20.7,29.4,14.4
2022-07-25,0.3,21.6,30.6,16.1
2022-07-26,0.3,22.2,30.6,15.0
2022-07-27,0.3,22.6,31.7,15.6
2022-07-28,0.3,23.5,31.7,18.3
2022-07-29,0.3,22.3,31.1,17.8
2022-07-30,0.3,23.8,30.0,18.3
2022-07-31,0.3,25.2,32.2,20.0
2022-08-01,0.3,25.4,31.7,20.6
2022-08-02,0.3,24.8,30.6,20.0
2022-08-03,0.3,24.3,31.7,19.4
2022-08-04,0.3,23.4,30.6,19.4
2022-08-05,0.3,24.8,32.2,18.3
2022-08-06,0.3,26.3,32.8,19.4
2022-08-07,0.3,28.8,34.4,24.4
2022-08-08,0.3,27.2,33.9,21.7
2022-08-09,0.3,28.1,33.9,23.3
2022-08-10,0.3,27.7,34.4,23.3
2022-08-11,0.3,27.7,34.4,22.2
2022-08-12,0.3,28.2,35.0,23.3
2022-08-13,0.3,28.6,35.0,21.1
2022-08-14,0.3,27.7,33.9,22.2
2022-08-15,0.3,26.9,33.9,21.1
2022-08-16,0.3,27.5,33.9,22.2
2022-08-17,0.3,27.2,33.3,21.7
2022-08-18,0.3,25.3,32.2,19.4
2022-08-19,0.3,23.4,32.2,17.8
2022-08-20,0.3,21.3,29.4,15.6
2022-08-21,0.3,20.6,28.9,15.6
2022-08-22,0.3,23.2,31.7,16.1
2022-08-23,0.3,25.0,33.3,19.4
2022-08-24,0.3,25.4,31.7,18.9
2022-08-25,0.3,25.8,31.1,20.6
2022-08-26,0.3,25.0,31.7,20.0
2022-08-27,0.3,22.2,29.4,16.7
2022-08-28,0.3,20.9,28.9,16.1
2022-08-29,0.3,22.2,30.0,16.7
2022-08-30,0.3,27.2,33.9,20.0
2022-08-31,0.3,31.2,37.2,25.0
2022-09-01,0.3,32.5,37.8,26.7
2022-09-02,0.3,30.5,37.2,26.1
2022-09-03,0.3,32.2,40.0,26.7
2022-09-04,0.3,30.1,38.3,23.9
2022-09-05,0.3,30.1,41.7,23.3
2022-09-06,0.3,31.7,37.2,25.6
2022-09-07,0.3,32.6,39.4,25.6
2022-09-08,0.3,29.7,35.6,25.0
2022-09-09,0.3,24.4,29.4,20.6
2022-09-10,0.3,22.7,25.6,20.0
2022-09-11,0.3,22.4,29.4,20.0
2022-09-12,0.3,21.8,27.2,19.4
2022-09-13,0.3,21.5,27.8,18.3
2022-09-14,0.3,19.9,26.1,15.6
2022-09-15,0.3,19.4,26.7,15.0
2022-09-16,0.3,19.0,26.1,13.9
2022-09-17,0.3,17.4,25.6,13.3
2022-09-18,0.3,17.9,25.6,13.9
2022-09-19,0.3,18.3,27.2,12.2
2022-09-20,0.3,19.8,27.8,14.4
2022-09-21,0.3,19.6,27.2,13.3
2022-09-22,0.3,23.1,30.6,16.1
2022-09-23,0.3,26.1,32.2,20.6
2022-09-24,0.3,26.1,32.2,21.7
2022-09-25,0.3,26.1,33.3,21.7
2022-09-26,0.3,27.7,33.3,22.2
2022-09-27,0.3,29.1,35.0,24.4
2022-09-28,0.3,27.9,33.9,21.7
2022-09-29,0.3,25.2,30.6,19.4
2022-09-30,0.3,20.1,26.7,15.0
2022-10-01,0.3,17.7,25.6,13.3
2022-10-02,0.3,18.8,26.1,15.0
2022-10-03,0.3,19.7,27.2,15.6
2022-10-04,0.3,21.6,28.3,16.1
2022-10-05,0.3,21.3,28.3,16.7
2022-10-06,0.3,19.1,26.7,15.0
2022-10-07,0.3,21.8,28.3,15.6
2022-10-08,0.3,22.1,28.3,18.3
2022-10-09,0.3,21.3,27.2,16.1
2022-10-10,0.3,18.1,26.1,14.4
2022-10-11,0.3,17.5,25.0,13.9
2022-10-12,0.3,18.0,25.6,15.6
2022-10-13,0.3,18.4,23.9,15.6
2022-10-14,0.3,16.6,21.1,14.4
2022-10-15,0.3,14.2,16.1,13.3
2022-10-16,0.3,16.3,21.1,13.9
2022-10-17,0.3,19.8,25.6,15.0
2022-10-18,0.3,24.4,30.0,18.3
2022-10-19,0.3,25.6,30.0,21.1
2022-10-20,0.3,24.0,31.7,20.0
2022-10-21,0.3,19.9,26.1,16.1
2022-10-22,0.3,15.7,19.4,13.3
2022-10-23,0.3,13.6,18.3,10.6
2022-10-24,0.3,16.3,23.3,11.1
2022-10-25,0.3,17.8,24.4,13.3
2022-10-26,0.3,15.6,21.7,10.6
2022-10-27,0.3,16.6,23.9,10.0
2022-10-28,0.3,17.7,23.9,13.3
2022-10-29,0.3,17.9,24.4,13.3
2022-10-30,0.3,20.4,26.1,16.1
2022-10-31,0.3,20.8,27.8,16.7
2022-11-01,0.3,16.0,21.7,11.1
2022-11-02,0.3,12.3,17.2,10.0
2022-11-03,0.3,9.9,13.9,6.7
2022-11-04,0.3,12.2,18.9,7.2
2022-11-05,0.3,15.7,21.7,11.7
2022-11-06,0.3,14.6,20.6,10.6
2022-11-07,0.3,13.4,18.9,10.0
2022-11-08,0.3,12.5,14.4,8.9
2022-11-09,0.3,9.9,15.0,6.1
2022-11-10,0.3,11.5,17.2,6.7
2022-11-11,0.3,13.9,20.6,9.4
2022-11-12,0.3,13.0,19.4,8.9
2022-11-13,0.3,10.5,15.6,7.2
2022-11-14,0.3,13.4,19.4,8.3
2022-11-15,0.3,15.1,21.7,10.6
2022-11-16,0.3,15.3,20.6,11.7
2022-11-17,0.3,16.6,23.3,12.8
2022-11-18,0.3,14.8,20.0,10.6
2022-11-19,0.3,15.9,21.1,12.2
2022-11-20,0.3,17.2,22.8,13.3
2022-11-21,0.3,16.7,23.3,12.2
2022-11-22,0.3,15.8,22.2,11.7
2022-11-23,0.3,16.0,22.2,11.1
2022-11-24,0.3,17.7,21.1,15.0
2022-11-25,0.3,17.0,23.3,12.8
2022-11-26,0.3,15.6,22.2,11.7
2022-11-27,0.3,15.3,22.8,10.0
2022-11-28,0.3,10.2,13.9,8.3
2022-11-29,0.3,10.8,16.7,7.8
2022-11-30,0.3,9.3,14.4,6.7
2022-12-01,0.3,9.6,12.2,8.3
2022-12-02,0.3,12.8,17.2,8.3
2022-12-03,0.3,15.9,21.1,11.7
2022-12-04,0.3,14.4,19.4,11.1
2022-12-05,0.3,11.3,15.0,8.3
2022-12-06,0.3,9.3,12.8,7.8
2022-12-07,0.3,9.4,13.9,5.0
2022-12-08,0.3,9.0,15.0,4.4
2022-12-09,0.3,9.7,15.0,5.0
2022-12-10,0.3,10.8,15.6,6.7
2022-12-11,0.3,8.1,10.6,5.6
2022-12-12,0.3,5.8,9.4,4.4
2022-12-13,0.3,7.2,12.2,4.4
2022-12-14,0.3,8.9,15.0,4.4
2022-12-15,0.3,10.9,14.4,7.2
2022-12-16,0.3,12.7,17.2,10.0
2022-12-17,0.3,12.3,18.3,9.4
2022-12-18,0.3,11.2,16.1,6.7
2022-12-19,0.3,11.8,17.8,6.7
2022-12-20,0.3,13.2,18.3,10.0
2022-12-21,0.3,15.6,21.7,10.6
2022-12-22,0.3,15.7,20.6,11.7
2022-12-23,0.3,15.2,21.1,10.0
2022-12-24,0.3,19.3,23.9,14.4
2022-12-25,0.3,21.5,28.9,16.7
2022-12-26,0.3,21.4,27.2,17.2
2022-12-27,0.3,15.5,20.0,10.6
2022-12-28,0.3,11.2,13.9,9.4
2022-12-29,0.3,10.2,12.8,8.9
2022-12-30,0.3,10.8,12.8,9.4
2022-12-31,0.3,11.5,12.8,10.6
2023-01-01,0.3,8.9,11.1,7.8
2023-01-02,0.3,8.7,11.7,7.2
2023-01-03,0.3,10.0,11.7,7.8
2023-01-04,0.3,13.3,17.8,11.1
2023-01-05,0.3,10.6,12.8,9.4
2023-01-06,0.3,11.4,16.1,6.1
2023-01-07,0.3,13.8,18.9,10.6
2023-01-08,0.3,13.4,18.9,10.0
2023-01-09,0.3,13.2,17.8,10.6
2023-01-10,0.3,10.4,12.8,8.9
2023-01-11,0.3,10.0,13.9,6.7
2023-01-12,0.3,15.7,20.0,12.8
2023-01-13,0.3,14.9,20.0,11.1
2023-01-14,0.3,11.2,13.3,8.9
2023-01-15,0.3,9.3,11.7,7.8
2023-01-16,0.3,9.1,11.1,6.7
2023-01-17,0.3,6.9,8.9,5.6
2023-01-18,0.3,8.2,13.3,4.4
2023-01-19,0.3,8.6,12.2,5.6
2023-01-20,0.3,8.4,13.3,5.0
2023-01-21,0.3,9.9,15.6,5.0
2023-01-22,0.3,9.7,13.9,6.7
2023-01-23,0.3,9.0,14.4,4.4
2023-01-24,0.3,11.3,17.8,7.2
2023-01-25,0.3,14.0,20.6,9.4
2023-01-26,0.3,12.5,16.7,9.4
2023-01-27,0.3,13.0,20.0,8.3
2023-01-28,0.3,10.2,15.6,6.7
2023-01-29,0.3,7.8,10.0,6.1
2023-01-30,0.3,7.7,11.1,5.6
2023-01-31,0.3,9.5,15.0,4.4
2023-02-01,0.3,11.1,17.2,6.7
2023-02-02,0.3,13.9,20.0,8.9
2023-02-03,0.3,14.3,20.0,10.6
2023-02-04,0.3,14.2,20.0,10.0
2023-02-05,0.3,10.9,15.6,7.2
2023-02-06,0.3,11.0,16.1,6.1
2023-02-07,0.3,13.7,19.4,10.0
2023-02-08,0.3,15.1,21.1,10.0
2023-02-09,0.3,17.4,22.8,13.3
2023-02-10,0.3,16.2,22.8,13.3
2023-02-11,0.3,10.7,13.9,5.6
2023-02-12,0.3,7.6,12.2,4.4
2023-02-13,0.3,8.2,13.3,5.0
2023-02-14,0.3,7.1,8.3,5.0
2023-02-15,0.3,6.9,12.8,1.7
2023-02-16,0.3,8.8,13.3,3.9
2023-02-17,0.3,11.2,15.6,8.3
2023-02-18,0.3,12.2,18.9,7.8
2023-02-19,0.3,10.6,17.8,6.7
2023-02-20,0.3,14.1,21.7,8.3
2023-02-21,0.3,11.6,17.8,6.1
2023-02-22,0.3,5.9,9.4,3.9
2023-02-23,0.3,5.1,7.8,3.3
2023-02-24,0.3,8.9,11.7,5.0
2023-02-25,0.3,5.7,10.0,2.2
2023-02-26,0.3,5.4,10.0,2.8
2023-02-27,0.3,7.3,11.7,2.8
2023-02-28,0.3,7.6,11.1,6.1
2023-03-01,0.3,5.6,7.2,2.8
2023-03-02,0.3,7.3,14.4,2.2
2023-03-03,0.3,9.0,15.0,3.9
2023-03-04,0.3,8.1,12.8,5.6
2023-03-05,0.3,7.9,12.2,5.6
2023-03-06,0.3,8.4,13.9,5.6
2023-03-07,0.3,8.7,14.4,5.0
2023-03-08,0.3,8.4,14.4,4.4
2023-03-09,0.3,12.4,19.4,6.7
2023-03-10,0.3,11.7,14.4,10.0
2023-03-11,0.3,13.1,14.4,11.7
2023-03-12,0.3,13.2,17.2,11.1
2023-03-13,0.3,13.0,18.3,9.4
2023-03-14,0.3,13.4,17.2,10.6
2023-03-15,0.3,11.1,13.9,7.8
2023-03-16,0.3,9.3,14.4,6.7
2023-03-17,0.3,11.8,18.9,3.3
2023-03-18,0.3,16.3,22.2,12.2
2023-03-19,0.3,13.2,16.1,9.4
2023-03-20,0.3,10.8,13.3,8.3
2023-03-21,0.3,9.2,13.3,7.2
2023-03-22,0.3,8.4,12.8,6.1
2023-03-23,0.3,8.1,11.1,6.1
2023-03-24,0.3,9.3,13.9,6.1
2023-03-25,0.3,9.2,15.0,4.4
2023-03-26,0.3,9.7,15.6,4.4
2023-03-27,0.3,13.4,19.4,7.2
2023-03-28,0.3,13.6,19.4,8.3
2023-03-29,0.3,7.6,9.4,5.6
2023-03-30,0.3,6.9,10.6,4.4
2023-03-31,0.3,9.7,16.1,3.9
2023-04-01,0.3,12.8,18.9,7.2
2023-04-02,0.3,12.4,18.3,8.3
2023-04-03,0.3,8.6,12.2,5.0
2023-04-04,0.3,7.8,13.3,2.8
2023-04-05,0.3,11.4,18.3,5.0
2023-04-06,0.3,15.0,21.7,10.0
2023-04-07,0.3,14.2,20.0,9.4
2023-04-08,0.3,14.4,21.1,9.4
2023-04-09,0.3,17.7,23.9,10.6
2023-04-10,0.3,21.2,26.7,16.7
2023-04-11,0.3,16.6,24.4,8.9
2023-04-12,0.3,11.7,17.2,8.3
2023-04-13,0.3,8.9,11.1,7.2
2023-04-14,0.3,9.8,13.3,7.2
2023-04-15,0.3,13.4,21.1,8.3
2023-04-16,0.3,12.2,17.8,8.3
2023-04-17,0.3,11.2,15.6,9.4
2023-04-18,0.3,11.9,17.2,7.8
2023-04-19,0.3,11.8,17.8,7.8
2023-04-20,0.3,18.5,25.6,10.0
2023-04-21,0.3,22.8,30.0,16.7
2023-04-22,0.3,22.0,28.9,16.7
2023-04-23,0.3,17.2,23.3,10.6
2023-04-24,0.3,14.0,20.6,10.0
2023-04-25,0.3,13.9,21.1,10.6
2023-04-26,0.3,17.4,25.6,10.6
2023-04-27,0.3,20.3,26.7,16.7
2023-04-28,0.3,18.6,26.1,12.2
2023-04-29,0.3,18.2,25.6,12.2
2023-04-30,0.3,14.1,22.2,9.4
2023-05-01,0.3,11.3,15.0,8.9
2023-05-02,0.3,11.1,16.1,7.8
2023-05-03,0.3,11.1,16.7,7.8
2023-05-04,0.3,10.2,13.9,7.8
2023-05-05,0.3,11.1,16.1,8.3
2023-05-06,0.3,12.5,18.9,7.8
2023-05-07,0.3,13.3,20.0,8.3
2023-05-08,0.3,14.0,21.7,7.8
2023-05-09,0.3,13.2,20.6,9.4
2023-05-10,0.3,12.1,18.3,8.3
2023-05-11,0.3,13.9,20.6,10.0
2023-05-12,0.3,14.6,22.8,10.6
2023-05-13,0.3,16.4,26.1,10.0
2023-05-14,0.3,16.8,25.0,11.1
2023-05-15,0.3,17.1,24.4,12.2
2023-05-16,0.3,18.9,26.7,11.7
2023-05-17,0.3,16.7,23.3,11.1
2023-05-18,0.3,16.3,23.3,12.2
2023-05-19,0.3,15.7,23.3,12.2
2023-05-20,0.3,16.6,24.4,12.8
2023-05-21,0.3,17.3,26.1,12.8
2023-05-22,0.3,16.3,22.2,13.3
2023-05-23,0.3,13.6,15.6,12.2
2023-05-24,0.3,13.2,17.2,11.1
2023-05-25,0.3,14.2,20.6,10.6
2023-05-26,0.3,14.2,20.6,10.6
2023-05-27,0.3,14.7,20.6,11.7
2023-05-28,0.3,14.6,21.1,12.2
2023-05-29,0.3,12.9,14.4,11.7
2023-05-30,0.3,13.2,17.8,10.6
2023-05-31,0.3,11.9,14.4,10.0
2023-06-01,0.3,13.1,15.6,11.1
2023-06-02,0.3,15.3,21.1,12.2
2023-06-03,0.3,15.4,23.3,11.1
2023-06-04,0.3,16.2,24.4,11.7
2023-06-05,0.3,14.2,18.9,11.1
2023-06-06,0.3,13.8,19.4,10.6
2023-06-07,0.3,14.2,20.0,11.1
2023-06-08,0.3,15.7,22.2,11.1
2023-06-09,0.3,16.1,21.1,12.8
2023-06-10,0.3,14.6,18.9,12.2
2023-06-11,0.3,12.9,14.4,11.7
2023-06-12,0.3,14.1,18.3,12.2
2023-06-13,0.3,15.6,21.1,12.8
2023-06-14,0.3,15.4,21.7,12.8
2023-06-15,0.3,16.3,22.2,12.8
2023-06-16,0.3,18.1,26.1,12.8
2023-06-17,0.3,20.4,27.8,13.9
2023-06-18,0.3,18.2,25.0,12.2
2023-06-19,0.3,16.4,24.4,11.7
2023-06-20,0.3,18.2,25.6,11.7
2023-06-21,0.3,19.3,26.1,13.3
2023-06-22,0.3,15.2,21.7,10.0
2023-06-23,0.3,16.1,23.9,10.6
2023-06-24,0.3,17.1,25.6,11.1
2023-06-25,0.3,17.1,25.6,10.6
2023-06-26,0.3,17.8,25.6,11.1
2023-06-27,0.3,18.6,26.7,11.1
2023-06-28,0.3,16.9,24.4,11.1
2023-06-29,0.3,18.4,27.8,11.1
2023-06-30,0.3,21.4,32.2,13.3
2023-07-01,0.3,23.8,31.1,16.7
2023-07-02,0.3,25.4,33.3,18.3
2023-07-03,0.3,24.8,31.7,18.9
2023-07-04,0.3,24.1,31.1,16.7
2023-07-05,0.3,21.4,30.0,15.0
2023-07-06,0.3,18.9,27.8,11.7
2023-07-07,0.3,17.8,27.2,10.6
2023-07-08,0.3,17.9,26.7,11.1
2023-07-09,0.3,18.8,27.2,11.1
2023-07-10,0.3,22.9,32.2,13.9
2023-07-11,0.3,26.9,33.9,20.0
2023-07-12,0.3,27.8,33.9,22.8
2023-07-13,0.3,27.1,32.8,22.8
2023-07-14,0.3,27.7,33.9,22.8
2023-07-15,0.3,26.1,32.8,20.6
2023-07-16,0.3,26.8,32.8,21.7
2023-07-17,0.3,28.4,36.7,22.8
2023-07-18,0.3,28.0,34.4,23.3
2023-07-19,0.3,27.8,35.0,22.2
2023-07-20,0.3,28.8,35.6,23.9
2023-07-21,0.3,27.3,32.2,23.3
2023-07-22,0.3,25.4,31.1,19.4
2023-07-23,0.3,22.7,30.0,16.1
2023-07-24,0.3,27.5,33.9,21.7
2023-07-25,0.3,29.2,35.6,22.8
2023-07-26,0.3,29.1,36.7,22.8
2023-07-27,0.3,27.4,35.0,20.6
2023-07-28,0.3,26.3,31.1,21.7
2023-07-29,0.3,26.7,33.9,21.7
2023-07-30,0.3,26.4,32.8,21.1
2023-07-31,0.3,24.6,27.8,21.1
2023-08-01,0.3,25.4,31.7,18.9
2023-08-02,0.3,25.3,32.8,20.0
2023-08-03,0.3,22.8,29.4,15.6
2023-08-04,0.3,21.6,29.4,13.3
2023-08-05,0.3,24.9,32.2,16.7
2023-08-06,0.3,27.7,35.0,21.7
2023-08-07,0.3,27.9,34.4,21.1
2023-08-08,0.3,24.3,30.6,19.4
2023-08-09,0.3,22.1,29.4,17.2
2023-08-10,0.3,20.6,26.1,17.2
2023-08-11,0.3,21.2,27.2,17.2
2023-08-12,0.3,21.7,27.8,16.1
2023-08-13,0.3,22.2,28.3,17.2
2023-08-14,0.3,24.2,31.7,16.7
2023-08-15,0.3,26.8,33.9,20.0
2023-08-16,0.3,27.8,36.1,21.1
2023-08-17,0.3,27.7,35.6,22.2
2023-08-18,0.3,26.7,32.8,21.7
2023-08-19,0.3,24.6,28.3,20.6
2023-08-20,0.3,20.7,24.4,16.1
2023-08-21,0.3,18.2,21.1,15.6
2023-08-22,0.3,21.6,27.8,16.7
2023-08-23,0.3,23.7,29.4,18.9
2023-08-24,0.3,22.0,28.3,17.8
2023-08-25,0.3,22.2,30.0,15.6
2023-08-26,0.3,25.9,33.3,18.3
2023-08-27,0.3,28.8,35.0,22.8
2023-08-28,0.3,30.5,36.7,24.4
2023-08-29,0.3,31.3,37.8,27.2
